make	model	year	vin
Lamborghini	Murciélago LP640	2008	3GYFNEEY5BS549206
Subaru	Outback	2003	JN1AZ4EH2DM022566
Plymouth	Voyager	1992	WBAWB73589P509971
Toyota	Land Cruiser	1997	3N1CE2CP8FL272927
Porsche	911	2008	SCBLE37G33C661322
Scion	xD	2012	SCFAD01A85G355126
Ford	E150	2010	5N1BA0NE0FN408418
Isuzu	Hombre Space	1998	JA4AS2AW6CU877970
Ford	Mustang	1971	WAUWFAFR6DA642708
Acura	RL	2005	WBAEV33414K022314
Ford	Laser	1987	JN1AZ4EH4FM821333
Acura	MDX	2001	WBAVB33596K170070
Toyota	Corolla	2005	JH4CL96857C089612
Toyota	Tacoma	2008	3C6LD4ATXCG008261
Dodge	Ram Wagon B250	1993	1G6AC5SX5E0864409
GMC	Yukon XL 1500	2008	1FMCU9E77AK520013
Subaru	Outback	2000	WAUVT68E95A595302
Mercedes-Benz	300CE	1992	WAUNF78P78A624380
GMC	Savana 1500	1996	2T1BURHEXFC484789
Hyundai	Elantra	2013	JTEBU5JR1D5919596
Rolls-Royce	Ghost	2012	1D7RE2GK4BS527662
Mercury	Mountaineer	2002	3D4PH1FG2BT458326
Acura	RDX	2011	1G6KP5E93AU984086
Ford	Escort	1992	JTHDU1EF6B5568606
Honda	Ridgeline	2010	JN1CV6FE8BM606391
Toyota	Matrix	2009	SCFEBBAK8BG111712
Audi	A3	2009	1N6AA0EK7FN432900
Chevrolet	Corsica	1994	3D73Y3CL6AG467648
Infiniti	QX	2003	WAUWFAFH0CN687285
Ferrari	599 GTB Fiorano	2010	2G61M5S34E9207892
Chevrolet	G-Series G30	1992	2B3CJ4DV6AH980971
Lexus	RX	1999	WBAKF3C53BE142541
Ford	Transit Connect	2011	3VWKX7AJXBM351659
Cadillac	DeVille	1994	19UUA56793A243886
Saab	9-3	2000	WBANA73564B038701
Mazda	Tribute	2004	1FTEX1CM6CF033184
Shelby	GT350	1969	KL4CJESB0FB714062
Toyota	Tundra	2009	1G6DU6EV3A0671258
Infiniti	Q	2002	1FTSW2B51AE253275
Audi	200	1989	YV126MFC0F1799615
GMC	Yukon XL 2500	2003	3C63DRBL0CG743679
BMW	X6	2012	SCFKDCEPXEG419168
BMW	Z4	2005	2G4WC532551961101
Saturn	VUE	2008	1ZVBP8AM9C5781318
Mazda	Tribute	2011	1G4CW54K514703166
